"ntaxa"	"mntd.obs"	"mntd.rand.mean"	"mntd.rand.sd"	"mntd.obs.rank"	"mntd.obs.z"	"mntd.obs.p"	"runs"
"Cepora nerissa"	2	208.516918	260.939939141414	71.3288629839341	4	-0.734948223599495	0.04	99
"Ceratinia neso"	2	79.32	278.692871606061	106.936160775627	1	-1.86441022531549	0.01	99
"Ceratrichia phocion"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Cerautola ceraunia"	0	NA	NA	NA	NA	NA	NA	99
"Cercyonis oetus"	2	95.4795	287.043633616162	116.81096047351	1	-1.63994999133326	0.01	99
"Cercyonis pegala"	3	213.878954666667	257.871435771044	50.1515628641239	7	-0.87719063159739	0.07	99
"Cethosia biblis"	2	116.5963	254.394204636364	64.645035957992	3	-2.13160844594329	0.03	99
"Cethosia cydippe"	2	247.469446	260.567830555556	85.8263638253646	56	-0.152614930561518	0.56	99
"Chaetocneme critomedia"	5	242.6957316	242.827475484848	41.6290219458364	61	-0.00316471246958163	0.61	99
"Chaetoprocta odata"	2	100.4022	276.991907363636	106.787627531664	2	-1.65365325033816	0.02	99
